age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
31,Private,235000,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Hispanic,Male,0,0,40,United-States,<=50K
43,Private,205000,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,60,United-States,>50K
23,Private,265000,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,30,United-States,<=50K
59,Private,160000,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
38,Private,190000,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
51,State-gov,170000,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,50,United-States,>50K
27,Private,240000,HS-grad,9,Never-married,Other-service,Own-child,Black,Female,0,0,30,United-States,<=50K
66,Self-emp-not-inc,145000,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
32,Local-gov,185000,Bachelors,13,Never-married,Protective-serv,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,>50K
49,Private,200000,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K
56,Federal-gov,175000,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,>50K
22,Private,255000,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
64,Private,165000,HS-grad,9,Widowed,Farming-fishing,Not-in-family,White,Female,0,0,25,United-States,<=50K
35,State-gov,195000,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,>50K
40,Private,215000,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,55,United-States,>50K
20,Private,275000,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,<=50K
61,Self-emp-inc,150000,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,50,United-States,>50K
30,Local-gov,190000,Masters,14,Never-married,Prof-specialty,Not-in-family,Black,Female,0,0,40,United-States,<=50K
48,Private,210080,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K
55,Federal-gov,175050,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,>50K
26,Private,240020,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
39,Private,200040,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,>50K
63,Private,165030,HS-grad,9,Widowed,Farming-fishing,Not-in-family,White,Female,0,0,30,United-States,<=50K
34,State-gov,185010,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,>50K
41,Private,225000,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,50,United-States,>50K
25,Private,250060,Some-college,10,Never-married,Other-service,Own-child,Black,Female,0,0,25,United-States,<=50K
70,Self-emp-not-inc,130090,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,30,United-States,>50K
52,Local-gov,170040,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
36,Private,210050,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
47,Private,195000,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,0,0,35,United-States,>50K
28,Federal-gov,205000,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
68,Private,155020,11th,7,Widowed,Transport-moving,Not-in-family,White,Female,0,0,20,United-States,<=50K
31,Private,235000,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Hispanic,Male,0,0,40,United-States,<=50K
43,Private,205000,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,60,United-States,>50K
23,Private,265000,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,30,United-States,<=50K
59,Private,160000,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
38,Private,190000,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
51,State-gov,170000,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,50,United-States,>50K
27,Private,240000,HS-grad,9,Never-married,Other-service,Own-child,Black,Female,0,0,30,United-States,<=50K
66,Self-emp-not-inc,145000,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
32,Local-gov,185000,Bachelors,13,Never-married,Protective-serv,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,>50K
49,Private,200000,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K
56,Federal-gov,175000,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,>50K
22,Private,255000,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
64,Private,165000,HS-grad,9,Widowed,Farming-fishing,Not-in-family,White,Female,0,0,25,United-States,<=50K
35,State-gov,195000,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,>50K
40,Private,215000,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,55,United-States,>50K
20,Private,275000,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,<=50K
61,Self-emp-inc,150000,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,50,United-States,>50K
44,Private,200000,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
35,Private,180000,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,35,United-States,<=50K
53,Federal-gov,170000,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,45,United-States,>50K
26,Private,250000,Some-college,10,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,United-States,<=50K
67,Self-emp-not-inc,140000,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,60,United-States,>50K
29,Local-gov,200000,Bachelors,13,Never-married,Protective-serv,Not-in-family,White,Male,0,0,40,United-States,>50K
58,Private,160000,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Female,0,0,30,United-States,<=50K
30,Private,230000,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
46,State-gov,190000,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,>50K
62,Private,150000,11th,7,Widowed,Other-service,Not-in-family,White,Female,0,0,20,United-States,<=50K
33,Private,220000,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,>50K
75,Private,130000,HS-grad,9,Widowed,Farming-fishing,Not-in-family,White,Male,0,0,15,United-States,<=50K
41,Federal-gov,180000,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,50,United-States,>50K
24,Private,260000,Some-college,10,Never-married,Sales,Own-child,Black,Female,0,0,25,United-States,<=50K
69,Self-emp-inc,145000,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,50,United-States,>50K
37,Local-gov,175000,Bachelors,13,Never-married,Protective-serv,Not-in-family,White,Male,0,0,40,United-States,>50K
50,Private,210000,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
54,State-gov,165000,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,>50K
28,Private,245000,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
60,Private,155000,HS-grad,9,Widowed,Farming-fishing,Not-in-family,White,Female,0,0,20,United-States,<=50K
36,Private,195000,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,>50K
42,Private,215000,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,55,United-States,>50K
21,Private,270000,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,<=50K
65,Self-emp-not-inc,150000,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
39,Local-gov,180000,Masters,14,Never-married,Prof-specialty,Not-in-family,Black,Female,0,0,40,United-States,<=50K
47,Private,205000,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K
52,Federal-gov,170000,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,>50K
27,Private,250000,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
63,Private,160000,HS-grad,9,Widowed,Farming-fishing,Not-in-family,White,Female,0,0,25,United-States,<=50K
34,State-gov,190000,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,>50K
40,Private,220000,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,60,United-States,>50K
23,Private,260000,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,30,United-States,<=50K
59,Private,170000,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
38,Private,195000,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
51,State-gov,175000,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,50,United-States,>50K
27,Private,245000,HS-grad,9,Never-married,Other-service,Own-child,Black,Female,0,0,30,United-States,<=50K
66,Self-emp-not-inc,150000,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
32,Local-gov,190000,Bachelors,13,Never-married,Protective-serv,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,>50K
49,Private,205000,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K
56,Federal-gov,180000,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,>50K
22,Private,260000,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
64,Private,165000,HS-grad,9,Widowed,Farming-fishing,Not-in-family,White,Female,0,0,25,United-States,<=50K
35,State-gov,200000,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,>50K
40,Private,225000,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,55,United-States,>50K
20,Private,280000,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,<=50K
61,Self-emp-inc,155000,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,50,United-States,>50K
34,Private,200000,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,7688,0,45,United-States,>50K
51,Self-emp-not-inc,150000,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,60,United-States,>50K
28,Private,180000,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
42,Federal-gov,220000,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
39,Private,190000,Bachelors,13,Divorced,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,0,40,United-States,>50K
25,Private,170000,HS-grad,9,Never-married,Other-service,Own-child,Black,Female,0,0,35,United-States,<=50K
60,State-gov,230000,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
31,Private,160000,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Mexico,<=50K
47,Private,210000,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,40,United-States,>50K
22,Private,140000,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,United-States,<=50K
55,Self-emp-not-inc,195000,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,15000,0,70,United-States,>50K
38,Private,175000,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,>50K
29,Private,185000,Some-college,10,Never-married,Transport-moving,Own-child,Black,Male,0,0,40,United-States,<=50K
49,Federal-gov,205000,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,>50K
33,Private,165000,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
26,Private,155000,Some-college,10,Never-married,Farming-fishing,Own-child,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
44,State-gov,215000,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Female,0,0,40,United-States,>50K
58,Private,225000,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Mexico,<=50K
30,Private,190000,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
37,Private,170000,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,<=50K
62,Self-emp-not-inc,200000,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,99999,0,50,Philippines,>50K
24,Private,150000,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,United-States,<=50K
50,Federal-gov,230000,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
35,Private,180000,Bachelors,13,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,35,United-States,>50K
41,Private,210000,Some-college,10,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
27,Private,160000,HS-grad,9,Never-married,Other-service,Own-child,Black,Female,0,0,30,United-States,<=50K
65,Private,240000,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,20000,0,60,United-States,>50K
32,Private,175000,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
46,State-gov,205000,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
53,Private,220000,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,<=50K
21,Private,145000,Some-college,10,Never-married,Farming-fishing,Own-child,White,Male,0,0,35,United-States,<=50K
36,Private,195000,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Female,0,0,40,United-States,>50K
48,Federal-gov,225000,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
23,Private,155000,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Female,0,0,25,United-States,<=50K
59,Private,235000,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K
30,Private,170000,Some-college,10,Divorced,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,0,35,United-States,<=50K
45,Private,215000,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
20,Private,135000,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,<=50K
52,Self-emp-not-inc,205000,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,65,United-States,>50K
33,Private,185000,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
26,Private,165000,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,35,United-States,<=50K
40,Federal-gov,200000,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
31,Private,175000,Bachelors,13,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,United-States,>50K
25,Private,150000,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,United-States,<=50K
61,State-gov,230000,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
38,Private,180000,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
49,Private,220000,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,>50K
22,Private,140000,HS-grad,9,Never-married,Other-service,Own-child,Black,Female,0,0,30,United-States,<=50K
55,Self-emp-not-inc,195000,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,10000,0,60,United-States,>50K
34,Private,200000,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,>50K
51,Self-emp-not-inc,150000,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,60,United-States,>50K
28,Private,180000,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
42,Federal-gov,220000,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
39,Private,190000,Bachelors,13,Divorced,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,0,40,United-States,>50K
25,Private,170000,HS-grad,9,Never-married,Other-service,Own-child,Black,Female,0,0,35,United-States,<=50K
60,State-gov,230000,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
31,Private,160000,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Mexico,<=50K
47,Private,210000,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,40,United-States,>50K
22,Private,140000,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,United-States,<=50K
55,Self-emp-not-inc,195000,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,15000,0,70,United-States,>50K
38,Private,175000,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,>50K
29,Private,185000,Some-college,10,Never-married,Transport-moving,Own-child,Black,Male,0,0,40,United-States,<=50K
49,Federal-gov,205000,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,>50K
33,Private,165000,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
26,Private,155000,Some-college,10,Never-married,Farming-fishing,Own-child,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
44,State-gov,215000,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Female,0,0,40,United-States,>50K
58,Private,225000,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Mexico,<=50K
30,Private,190000,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
37,Private,170000,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,<=50K
62,Self-emp-not-inc,200000,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,99999,0,50,Philippines,>50K
24,Private,150000,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,United-States,<=50K
50,Federal-gov,230000,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
35,Private,180000,Bachelors,13,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,35,United-States,>50K
41,Private,210000,Some-college,10,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
27,Private,160000,HS-grad,9,Never-married,Other-service,Own-child,Black,Female,0,0,30,United-States,<=50K
65,Private,240000,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,20000,0,60,United-States,>50K
32,Private,175000,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
46,State-gov,205000,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
53,Private,220000,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,<=50K
21,Private,145000,Some-college,10,Never-married,Farming-fishing,Own-child,White,Male,0,0,35,United-States,<=50K
36,Private,195000,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Female,0,0,40,United-States,>50K
48,Federal-gov,225000,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
23,Private,155000,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Female,0,0,25,United-States,<=50K
59,Private,235000,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K
30,Private,170000,Some-college,10,Divorced,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,0,35,United-States,<=50K
45,Private,215000,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
20,Private,135000,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,<=50K
52,Self-emp-not-inc,205000,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,65,United-States,>50K
33,Private,185000,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
26,Private,165000,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,35,United-States,<=50K
40,Federal-gov,200000,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
31,Private,175000,Bachelors,13,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,United-States,>50K
25,Private,150000,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,United-States,<=50K
61,State-gov,230000,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
38,Private,180000,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
49,Private,220000,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,>50K
22,Private,140000,HS-grad,9,Never-married,Other-service,Own-child,Black,Female,0,0,30,United-States,<=50K
55,Self-emp-not-inc,195000,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,10000,0,60,United-States,>50K
34,Private,200000,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,>50K
51,Self-emp-not-inc,150000,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,60,United-States,>50K
28,Private,180000,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
42,Federal-gov,220000,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
39,Private,190000,Bachelors,13,Divorced,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,0,40,United-States,>50K
25,Private,170000,HS-grad,9,Never-married,Other-service,Own-child,Black,Female,0,0,35,United-States,<=50K
60,State-gov,230000,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
31,Private,160000,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Mexico,<=50K
47,Private,210000,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,40,United-States,>50K
22,Private,140000,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,United-States,<=50K
55,Self-emp-not-inc,195000,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,15000,0,70,United-States,>50K
38,Private,175000,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,>50K
29,Private,185000,Some-college,10,Never-married,Transport-moving,Own-child,Black,Male,0,0,40,United-States,<=50K
49,Federal-gov,205000,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,>50K
33,Private,165000,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
26,Private,155000,Some-college,10,Never-married,Farming-fishing,Own-child,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
44,State-gov,215000,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Female,0,0,40,United-States,>50K
58,Private,225000,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Mexico,<=50K
30,Private,190000,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
37,Private,170000,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,<=50K
62,Self-emp-not-inc,200000,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,99999,0,50,Philippines,>50K
