age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
89,Without-pay,107563,Assoc-acdm,3,Widowed,Machine-op-inspct,Husband,White,Male,0,0,24,Germany,<=50K
39,Federal-gov,681354,11th,7,Widowed,Craft-repair,Husband,Amer-Indian-Eskimo,Male,0,0,3,Canada,>50K
18,Without-pay,236244,12th,15,Widowed,Exec-managerial,Unmarried,Other,Female,0,0,99,Mexico,<=50K
61,Self-emp-inc,577020,Prof-school,9,Divorced,Prof-specialty,Other-relative,Asian-Pac-Islander,Male,0,4356,16,Canada,<=50K
34,Self-emp-not-inc,33031,11th,6,Married-civ-spouse,Tech-support,Not-in-family,Other,Male,0,0,60,Germany,<=50K
53,Private,861479,Prof-school,3,Never-married,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Male,0,0,70,?,<=50K
18,Federal-gov,828102,9th,6,Widowed,Prof-specialty,Own-child,White,Male,0,0,36,?,<=50K
89,Private,262491,HS-grad,4,Divorced,Prof-specialty,Unmarried,White,Female,0,0,83,Philippines,<=50K
40,Self-emp-not-inc,965884,Bachelors,8,Never-married,Sales,Own-child,White,Male,0,0,20,Mexico,<=50K
70,Federal-gov,865701,11th,14,Married-spouse-absent,Craft-repair,Other-relative,Asian-Pac-Islander,Female,0,0,63,Canada,<=50K
70,Self-emp-inc,79710,Masters,4,Married-civ-spouse,Sales,Husband,Black,Female,0,0,2,?,<=50K
74,Without-pay,235516,7th-8th,13,Married-spouse-absent,Handlers-cleaners,Other-relative,Asian-Pac-Islander,Female,0,0,68,Germany,<=50K
55,Self-emp-not-inc,45245,Assoc-acdm,14,Never-married,Machine-op-inspct,Own-child,Black,Female,0,0,67,Canada,<=50K
70,Federal-gov,26847,Some-college,7,Never-married,Craft-repair,Husband,Amer-Indian-Eskimo,Female,0,0,40,Germany,<=50K
33,Federal-gov,583591,Bachelors,16,Divorced,Exec-managerial,Unmarried,White,Male,7688,0,54,Mexico,<=50K
30,Federal-gov,10801,Masters,2,Separated,Other-service,Husband,Black,Male,0,0,58,United-States,<=50K
80,Private,790140,7th-8th,7,Never-married,Prof-specialty,Husband,Other,Male,0,0,5,United-States,<=50K
30,Local-gov,543650,Some-college,1,Never-married,Other-service,Husband,Other,Female,0,0,37,Germany,<=50K
60,?,79115,Prof-school,5,Separated,Tech-support,Wife,White,Female,0,0,34,Canada,>50K
48,Private,662417,Prof-school,8,Never-married,Craft-repair,Unmarried,Other,Female,0,0,86,Canada,>50K
51,Self-emp-not-inc,642909,Masters,2,Married-civ-spouse,Machine-op-inspct,Other-relative,Other,Male,0,0,70,Philippines,<=50K
89,Private,408536,Bachelors,9,Married-spouse-absent,?,Other-relative,Asian-Pac-Islander,Female,0,0,81,?,<=50K
88,Without-pay,913723,11th,12,Divorced,Machine-op-inspct,Other-relative,Other,Male,0,0,78,Mexico,<=50K
29,State-gov,612540,11th,10,Separated,Machine-op-inspct,Other-relative,Other,Male,0,0,76,United-States,<=50K
43,?,345754,12th,7,Divorced,Craft-repair,Not-in-family,Black,Female,0,4356,58,Canada,<=50K
40,Federal-gov,789223,Some-college,11,Married-civ-spouse,Craft-repair,Other-relative,White,Male,0,0,37,Philippines,<=50K
73,Self-emp-inc,629491,11th,12,Never-married,Prof-specialty,Own-child,White,Male,0,0,61,?,>50K
67,Self-emp-inc,202646,Assoc-voc,15,Married-spouse-absent,Prof-specialty,Wife,Other,Male,0,0,98,Canada,>50K
36,Self-emp-not-inc,287170,9th,13,Married-spouse-absent,Tech-support,Not-in-family,Black,Male,0,0,72,Philippines,<=50K
61,Private,815446,7th-8th,3,Never-married,Craft-repair,Unmarried,Other,Male,0,0,1,United-States,<=50K
74,Without-pay,333947,Prof-school,5,Divorced,Sales,Other-relative,Asian-Pac-Islander,Male,0,1887,98,Canada,<=50K
36,Private,919656,Assoc-acdm,1,Married-civ-spouse,Sales,Own-child,Black,Female,0,0,95,Mexico,>50K
85,Self-emp-inc,228785,Bachelors,13,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,49,Mexico,<=50K
84,Local-gov,976167,Assoc-voc,6,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Male,0,0,44,Philippines,<=50K
45,Self-emp-inc,265321,Some-college,16,Widowed,Other-service,Husband,Black,Male,0,0,89,?,<=50K
79,State-gov,537622,Prof-school,15,Never-married,Other-service,Wife,Asian-Pac-Islander,Female,7688,0,30,Germany,>50K
86,Self-emp-inc,666037,Bachelors,14,Widowed,Tech-support,Other-relative,Other,Female,0,4356,23,United-States,<=50K
74,Self-emp-not-inc,849988,Assoc-acdm,13,Separated,Craft-repair,Unmarried,Other,Female,0,0,36,Canada,<=50K
48,?,869188,9th,16,Widowed,Exec-managerial,Other-relative,Other,Female,0,0,36,United-States,<=50K
21,Without-pay,609514,HS-grad,16,Divorced,?,Unmarried,White,Female,0,0,1,Mexico,<=50K
69,State-gov,156505,9th,8,Married-civ-spouse,Craft-repair,Unmarried,Other,Female,0,0,53,Philippines,<=50K
84,Private,237316,9th,2,Separated,Craft-repair,Unmarried,Asian-Pac-Islander,Female,0,0,74,?,<=50K
45,Federal-gov,863804,Bachelors,5,Married-spouse-absent,Exec-managerial,Wife,Other,Male,0,0,35,Canada,<=50K
64,Local-gov,105506,9th,9,Divorced,Sales,Unmarried,Asian-Pac-Islander,Male,0,0,1,?,<=50K
89,Local-gov,328917,12th,4,Married-civ-spouse,Handlers-cleaners,Not-in-family,Other,Female,0,0,42,United-States,<=50K
38,Local-gov,124800,11th,14,Widowed,Handlers-cleaners,Other-relative,White,Female,0,0,63,United-States,<=50K
52,Self-emp-not-inc,890701,9th,2,Separated,Craft-repair,Husband,Black,Male,0,0,51,United-States,<=50K
33,Local-gov,81461,Some-college,15,Widowed,Craft-repair,Wife,Asian-Pac-Islander,Female,0,0,61,?,<=50K
53,Local-gov,136110,Assoc-acdm,4,Divorced,Handlers-cleaners,Not-in-family,Asian-Pac-Islander,Male,0,0,59,Canada,>50K
90,Self-emp-not-inc,578705,Assoc-acdm,3,Divorced,Prof-specialty,Husband,Other,Male,0,0,11,?,<=50K
84,Self-emp-not-inc,677662,Bachelors,14,Divorced,Craft-repair,Own-child,Other,Male,0,0,96,Germany,<=50K
50,Self-emp-inc,552767,HS-grad,16,Married-spouse-absent,Craft-repair,Own-child,Black,Female,0,0,83,?,<=50K
84,Private,194266,Bachelors,3,Separated,Tech-support,Unmarried,Amer-Indian-Eskimo,Male,0,0,7,Philippines,>50K
49,Local-gov,659240,12th,13,Divorced,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,93,Germany,<=50K
41,Private,838469,12th,14,Separated,Prof-specialty,Wife,Other,Male,0,0,72,?,>50K
34,?,705651,Assoc-acdm,14,Married-spouse-absent,?,Wife,Other,Male,0,0,96,United-States,<=50K
42,Private,67097,9th,10,Married-spouse-absent,Other-service,Own-child,Asian-Pac-Islander,Female,0,0,48,Mexico,<=50K
60,State-gov,857908,12th,12,Divorced,Exec-managerial,Own-child,White,Male,0,0,66,United-States,<=50K
58,Self-emp-inc,333293,12th,10,Never-married,Craft-repair,Husband,Asian-Pac-Islander,Female,0,0,47,Canada,>50K
76,Private,303017,HS-grad,3,Widowed,Machine-op-inspct,Unmarried,White,Male,0,0,35,Canada,>50K
43,Self-emp-inc,863977,7th-8th,13,Widowed,Sales,Other-relative,Black,Male,0,0,32,Germany,<=50K
55,?,671482,HS-grad,13,Married-spouse-absent,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Male,0,0,86,Canada,>50K
81,Federal-gov,780963,12th,14,Separated,Prof-specialty,Unmarried,Black,Male,0,0,41,United-States,<=50K
40,Self-emp-inc,472210,12th,9,Divorced,Craft-repair,Wife,Other,Male,0,0,51,?,<=50K
49,Without-pay,762394,7th-8th,15,Widowed,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Female,7688,0,80,?,<=50K
89,?,611609,Masters,6,Divorced,Exec-managerial,Own-child,White,Female,0,0,66,United-States,<=50K
81,Local-gov,946478,Assoc-voc,16,Never-married,Sales,Unmarried,Other,Female,0,0,3,Germany,<=50K
20,Self-emp-inc,780937,Prof-school,16,Separated,Tech-support,Husband,Amer-Indian-Eskimo,Female,0,0,26,Mexico,<=50K
39,Self-emp-not-inc,323050,Bachelors,8,Married-civ-spouse,Tech-support,Not-in-family,Amer-Indian-Eskimo,Male,0,0,73,?,<=50K
37,Private,236522,HS-grad,9,Never-married,Handlers-cleaners,Wife,Other,Female,0,0,66,United-States,>50K
45,Private,259921,Some-college,15,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Male,0,0,39,Germany,>50K
46,Self-emp-not-inc,317522,11th,15,Separated,Craft-repair,Not-in-family,Other,Male,0,0,88,Canada,<=50K
28,State-gov,773477,Some-college,3,Never-married,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Female,0,0,43,Mexico,<=50K
20,State-gov,490734,7th-8th,6,Divorced,Tech-support,Not-in-family,Amer-Indian-Eskimo,Male,0,0,1,Philippines,>50K
29,Private,51801,Assoc-voc,5,Divorced,Handlers-cleaners,Wife,Other,Male,0,0,63,Canada,<=50K
25,Private,20901,11th,2,Widowed,Handlers-cleaners,Other-relative,Amer-Indian-Eskimo,Female,0,0,12,Germany,<=50K
46,Local-gov,336969,Some-college,10,Married-civ-spouse,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,0,0,71,Mexico,<=50K
34,Local-gov,445397,12th,14,Never-married,?,Not-in-family,Asian-Pac-Islander,Male,0,0,55,Canada,<=50K
56,State-gov,612750,Some-college,14,Divorced,Handlers-cleaners,Not-in-family,White,Female,0,0,45,Germany,>50K
48,Private,772533,7th-8th,4,Married-spouse-absent,Exec-managerial,Unmarried,Black,Male,0,0,50,United-States,<=50K
64,Self-emp-inc,489186,Prof-school,14,Separated,Craft-repair,Unmarried,Amer-Indian-Eskimo,Female,0,0,20,United-States,<=50K
36,Federal-gov,978212,12th,6,Never-married,Craft-repair,Other-relative,Amer-Indian-Eskimo,Male,0,0,78,?,<=50K
34,State-gov,319168,9th,3,Divorced,Other-service,Husband,Asian-Pac-Islander,Male,0,0,13,Philippines,<=50K
25,Federal-gov,569694,Masters,12,Married-spouse-absent,Tech-support,Husband,Asian-Pac-Islander,Female,0,0,38,Philippines,<=50K
18,State-gov,711369,11th,10,Widowed,Sales,Other-relative,Black,Male,0,0,38,United-States,>50K
26,Without-pay,395889,7th-8th,6,Married-civ-spouse,Machine-op-inspct,Unmarried,Amer-Indian-Eskimo,Male,0,0,89,United-States,<=50K
47,State-gov,973370,7th-8th,16,Divorced,Prof-specialty,Other-relative,Other,Female,0,0,3,Germany,<=50K
61,Without-pay,349693,Masters,7,Married-civ-spouse,Prof-specialty,Husband,Other,Male,0,0,74,United-States,<=50K
73,Self-emp-not-inc,933723,9th,6,Never-married,Handlers-cleaners,Husband,Amer-Indian-Eskimo,Male,0,0,44,Mexico,<=50K
19,?,265364,11th,2,Separated,Craft-repair,Wife,Asian-Pac-Islander,Female,0,0,10,United-States,<=50K
66,State-gov,696295,9th,7,Married-spouse-absent,Craft-repair,Wife,Other,Female,7688,0,42,United-States,<=50K
71,?,979459,Assoc-voc,7,Separated,Craft-repair,Other-relative,White,Male,0,0,8,Mexico,<=50K
63,Federal-gov,711789,Assoc-acdm,9,Separated,Other-service,Own-child,Asian-Pac-Islander,Female,0,0,2,Canada,>50K
45,Federal-gov,373297,9th,4,Never-married,Prof-specialty,Own-child,White,Female,0,0,36,?,>50K
52,Private,339220,Masters,14,Separated,Tech-support,Unmarried,Other,Male,0,0,34,Mexico,<=50K
28,Self-emp-not-inc,777299,9th,9,Never-married,Sales,Own-child,Black,Male,0,0,27,?,>50K
72,Private,715050,9th,3,Widowed,Prof-specialty,Unmarried,White,Female,0,0,85,Canada,<=50K
51,Without-pay,66779,Masters,3,Married-civ-spouse,Handlers-cleaners,Wife,Other,Male,0,0,7,Canada,<=50K
34,Self-emp-not-inc,952760,Assoc-acdm,11,Married-spouse-absent,Sales,Not-in-family,White,Female,0,0,89,Mexico,>50K
79,Private,296024,Bachelors,10,Separated,Craft-repair,Husband,White,Male,0,0,64,Mexico,<=50K
77,?,549959,Masters,10,Married-civ-spouse,Tech-support,Not-in-family,Other,Male,0,0,1,?,<=50K
21,State-gov,242616,12th,14,Married-spouse-absent,?,Not-in-family,Asian-Pac-Islander,Male,0,0,46,Germany,<=50K
81,?,856118,12th,15,Never-married,Other-service,Other-relative,Other,Female,0,0,8,United-States,<=50K
86,?,181452,7th-8th,3,Never-married,Craft-repair,Unmarried,White,Male,0,0,71,?,>50K
67,Local-gov,902520,Some-college,3,Widowed,Other-service,Husband,Black,Female,0,0,95,United-States,>50K
47,?,26539,9th,9,Never-married,Prof-specialty,Own-child,White,Female,0,0,34,Philippines,<=50K
82,Private,95815,Bachelors,14,Widowed,Craft-repair,Own-child,Black,Female,0,0,72,Canada,<=50K
38,?,449834,7th-8th,12,Never-married,?,Own-child,Black,Male,0,0,47,United-States,>50K
61,?,269092,Masters,9,Widowed,Handlers-cleaners,Husband,White,Male,0,0,23,United-States,<=50K
66,Local-gov,590922,Masters,2,Widowed,Craft-repair,Own-child,Amer-Indian-Eskimo,Male,0,0,44,Philippines,>50K
80,Self-emp-inc,60898,Masters,15,Divorced,Sales,Other-relative,Asian-Pac-Islander,Male,0,0,7,Philippines,<=50K
27,Without-pay,293867,Assoc-voc,8,Married-spouse-absent,Exec-managerial,Husband,White,Female,0,0,42,United-States,<=50K
51,Local-gov,763717,Assoc-voc,15,Divorced,Sales,Other-relative,White,Male,0,0,84,Mexico,<=50K
85,Local-gov,499242,Some-college,15,Never-married,Prof-specialty,Husband,White,Male,0,0,60,Germany,<=50K
31,Federal-gov,429579,9th,15,Never-married,Handlers-cleaners,Other-relative,Asian-Pac-Islander,Female,0,0,69,Philippines,<=50K
46,Private,854347,Assoc-acdm,5,Never-married,Exec-managerial,Husband,Asian-Pac-Islander,Female,0,0,81,Germany,>50K
27,Without-pay,709375,Bachelors,9,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,0,31,?,<=50K
57,?,645123,HS-grad,2,Never-married,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,25,Mexico,<=50K
38,Federal-gov,580337,Some-college,7,Divorced,?,Other-relative,White,Male,0,0,64,Germany,<=50K
48,Federal-gov,41590,HS-grad,1,Separated,Handlers-cleaners,Other-relative,Black,Male,0,0,13,Philippines,<=50K
89,?,961435,HS-grad,16,Divorced,Sales,Unmarried,Black,Female,99999,0,21,Philippines,>50K
46,Private,634860,Masters,2,Never-married,Prof-specialty,Own-child,White,Male,0,0,14,?,>50K
26,Self-emp-not-inc,292184,11th,9,Divorced,Tech-support,Unmarried,White,Female,0,0,37,United-States,<=50K
60,Local-gov,719022,Some-college,9,Widowed,Prof-specialty,Other-relative,Asian-Pac-Islander,Female,0,0,45,United-States,<=50K
83,Federal-gov,416163,Bachelors,14,Never-married,Other-service,Not-in-family,Black,Female,0,0,4,Philippines,<=50K
59,Local-gov,772211,Masters,4,Married-civ-spouse,Machine-op-inspct,Other-relative,Amer-Indian-Eskimo,Male,0,0,43,?,<=50K
31,Private,340993,Assoc-acdm,10,Married-civ-spouse,?,Other-relative,Other,Male,0,0,67,United-States,<=50K
44,Self-emp-not-inc,739880,HS-grad,10,Never-married,Machine-op-inspct,Unmarried,Black,Male,0,0,44,Philippines,<=50K
25,State-gov,185936,Masters,1,Married-civ-spouse,?,Not-in-family,Amer-Indian-Eskimo,Female,0,0,64,Philippines,>50K
49,Private,389173,11th,8,Separated,Exec-managerial,Wife,Other,Male,0,0,40,?,<=50K
45,State-gov,170971,HS-grad,14,Never-married,Sales,Other-relative,White,Male,0,0,2,Canada,<=50K
65,Self-emp-inc,174198,9th,15,Divorced,Sales,Unmarried,Other,Male,0,0,92,Canada,<=50K
52,Without-pay,238412,HS-grad,13,Married-civ-spouse,Other-service,Own-child,White,Female,0,0,85,Philippines,<=50K
48,Federal-gov,848995,Assoc-acdm,1,Divorced,Handlers-cleaners,Husband,Other,Male,0,0,75,Philippines,<=50K
84,State-gov,457803,Prof-school,4,Married-civ-spouse,Tech-support,Wife,Black,Female,0,0,33,Canada,<=50K
57,Local-gov,685068,12th,16,Divorced,Tech-support,Unmarried,White,Female,0,0,83,Germany,<=50K
20,Local-gov,498377,12th,13,Separated,Other-service,Other-relative,Black,Male,0,0,48,Mexico,<=50K
33,?,294496,HS-grad,2,Separated,Machine-op-inspct,Wife,Other,Male,0,0,2,?,<=50K
19,State-gov,587712,Prof-school,2,Divorced,Sales,Other-relative,White,Female,0,0,80,Germany,<=50K
26,Self-emp-not-inc,523546,Assoc-voc,12,Widowed,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,56,United-States,<=50K
90,Self-emp-inc,710093,7th-8th,9,Widowed,?,Other-relative,Amer-Indian-Eskimo,Female,0,0,55,Philippines,>50K
26,Private,165766,12th,10,Married-civ-spouse,Tech-support,Not-in-family,White,Female,0,0,4,Mexico,<=50K
25,?,273147,Assoc-voc,2,Married-civ-spouse,Handlers-cleaners,Wife,Amer-Indian-Eskimo,Female,7688,0,74,United-States,>50K
59,Federal-gov,357032,7th-8th,13,Married-civ-spouse,?,Not-in-family,White,Male,0,0,71,United-States,<=50K
24,Federal-gov,782221,9th,7,Married-civ-spouse,Handlers-cleaners,Unmarried,White,Female,0,0,49,Canada,<=50K
43,Without-pay,908996,7th-8th,8,Married-civ-spouse,Other-service,Other-relative,Black,Female,0,0,89,Philippines,>50K
87,State-gov,693067,Masters,3,Separated,?,Wife,Other,Male,0,0,79,Philippines,<=50K
66,Self-emp-inc,349275,Some-college,10,Married-civ-spouse,Machine-op-inspct,Unmarried,White,Male,0,0,61,Philippines,<=50K
28,Self-emp-not-inc,96381,Masters,5,Married-spouse-absent,Handlers-cleaners,Unmarried,Asian-Pac-Islander,Male,0,0,81,Germany,>50K
48,Local-gov,646068,Assoc-voc,2,Never-married,Prof-specialty,Own-child,Other,Female,0,0,49,Mexico,<=50K
63,Local-gov,874453,Bachelors,15,Widowed,Machine-op-inspct,Not-in-family,White,Male,0,0,51,Philippines,<=50K
37,State-gov,688759,Some-college,2,Never-married,Other-service,Unmarried,Other,Male,0,0,65,United-States,>50K
52,Private,253536,Prof-school,16,Never-married,Sales,Other-relative,Black,Female,0,0,4,Mexico,<=50K
85,?,302981,Prof-school,6,Never-married,Machine-op-inspct,Own-child,Black,Female,0,0,55,Mexico,<=50K
58,Without-pay,774214,Masters,6,Married-civ-spouse,Other-service,Wife,Black,Male,0,0,86,Germany,<=50K
54,State-gov,310887,Some-college,15,Married-spouse-absent,Sales,Own-child,White,Male,0,0,22,Canada,>50K
19,State-gov,156343,Prof-school,5,Divorced,Sales,Not-in-family,Black,Male,0,0,17,Canada,<=50K
19,?,665074,11th,1,Divorced,?,Not-in-family,White,Female,0,0,76,?,<=50K
83,Self-emp-not-inc,148132,Assoc-acdm,15,Married-civ-spouse,Prof-specialty,Wife,White,Male,0,0,19,?,<=50K
34,Self-emp-inc,472501,7th-8th,5,Divorced,Prof-specialty,Not-in-family,Black,Female,0,0,91,Germany,<=50K
76,Self-emp-inc,393164,7th-8th,2,Divorced,?,Not-in-family,Asian-Pac-Islander,Female,0,0,81,Philippines,<=50K
54,Self-emp-inc,440801,Prof-school,8,Widowed,Tech-support,Wife,White,Female,0,0,18,United-States,<=50K
46,Without-pay,310843,Masters,3,Married-civ-spouse,Craft-repair,Unmarried,White,Female,0,0,83,Germany,<=50K
24,Private,471772,12th,11,Married-spouse-absent,Sales,Other-relative,Asian-Pac-Islander,Female,0,0,35,Germany,>50K
24,State-gov,927586,12th,4,Married-civ-spouse,Other-service,Other-relative,Amer-Indian-Eskimo,Female,0,0,18,Mexico,>50K
63,State-gov,299002,Assoc-acdm,7,Separated,Sales,Not-in-family,Other,Female,0,0,19,Mexico,<=50K
25,Self-emp-not-inc,253463,Prof-school,9,Never-married,Sales,Husband,Other,Female,0,0,70,?,>50K
42,Local-gov,255008,Prof-school,2,Married-spouse-absent,Sales,Other-relative,Black,Male,0,0,58,Philippines,<=50K
62,?,204643,Masters,5,Separated,Tech-support,Own-child,Other,Female,0,0,84,Mexico,<=50K
48,Self-emp-not-inc,55645,HS-grad,16,Never-married,Tech-support,Not-in-family,Black,Female,0,0,97,Mexico,>50K
68,?,383570,Assoc-voc,13,Never-married,Tech-support,Own-child,White,Male,0,0,71,Philippines,>50K
67,Local-gov,350941,Assoc-voc,2,Widowed,Exec-managerial,Own-child,White,Male,0,0,91,Philippines,>50K
25,Self-emp-not-inc,784392,12th,16,Widowed,Machine-op-inspct,Own-child,Asian-Pac-Islander,Male,99999,0,32,Mexico,>50K
37,Without-pay,963432,9th,1,Married-civ-spouse,Other-service,Not-in-family,Amer-Indian-Eskimo,Male,0,0,47,?,<=50K
69,Local-gov,862202,Prof-school,15,Widowed,Prof-specialty,Other-relative,Amer-Indian-Eskimo,Female,0,0,18,Canada,<=50K
21,Self-emp-not-inc,724855,Assoc-voc,2,Separated,Prof-specialty,Husband,Amer-Indian-Eskimo,Female,0,0,30,Philippines,>50K
74,Without-pay,929200,11th,5,Never-married,Handlers-cleaners,Husband,Other,Male,0,0,29,United-States,>50K
35,?,351606,9th,5,Divorced,Machine-op-inspct,Husband,Other,Male,0,0,78,?,<=50K
22,Without-pay,145418,11th,6,Divorced,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,0,0,63,?,<=50K
53,State-gov,161280,HS-grad,2,Divorced,Tech-support,Own-child,Black,Male,0,0,39,Germany,<=50K
62,Private,245849,7th-8th,2,Married-civ-spouse,Tech-support,Not-in-family,Other,Female,0,0,42,Mexico,>50K
88,Federal-gov,716186,Assoc-acdm,16,Widowed,Handlers-cleaners,Unmarried,Asian-Pac-Islander,Female,0,0,38,Mexico,>50K
84,Private,883522,Bachelors,6,Married-spouse-absent,Other-service,Not-in-family,Amer-Indian-Eskimo,Female,0,0,99,United-States,<=50K
87,State-gov,992635,11th,4,Divorced,?,Unmarried,White,Male,0,0,53,Mexico,>50K
18,State-gov,151918,Bachelors,2,Married-spouse-absent,Sales,Other-relative,Other,Male,0,0,60,?,<=50K
46,Self-emp-inc,956829,7th-8th,5,Divorced,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,99999,0,96,Germany,>50K
68,Private,466420,12th,4,Separated,Sales,Wife,Asian-Pac-Islander,Female,0,0,29,Philippines,<=50K
64,Private,913124,Prof-school,5,Divorced,Prof-specialty,Unmarried,Black,Female,0,0,26,Philippines,>50K
41,Without-pay,689200,12th,6,Divorced,Tech-support,Wife,Asian-Pac-Islander,Female,0,0,67,Canada,<=50K
37,Self-emp-inc,687104,9th,5,Never-married,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Male,0,0,76,?,<=50K
56,?,177798,7th-8th,14,Widowed,Other-service,Unmarried,Asian-Pac-Islander,Female,0,0,5,Germany,<=50K
65,Private,957994,Some-college,1,Widowed,Exec-managerial,Unmarried,Other,Female,7688,0,54,Philippines,<=50K
71,Private,143171,11th,16,Divorced,Handlers-cleaners,Husband,Black,Male,0,0,62,United-States,<=50K
45,Self-emp-inc,81590,Prof-school,9,Married-civ-spouse,Exec-managerial,Other-relative,Amer-Indian-Eskimo,Male,0,0,70,Mexico,<=50K
89,Without-pay,18546,Assoc-voc,16,Widowed,Craft-repair,Husband,Other,Male,0,0,27,Mexico,<=50K
26,Federal-gov,410071,9th,15,Separated,Handlers-cleaners,Husband,Black,Male,0,0,40,Mexico,>50K
67,Private,135157,Bachelors,10,Married-spouse-absent,Machine-op-inspct,Other-relative,Asian-Pac-Islander,Female,0,4356,22,Canada,<=50K
79,?,275671,HS-grad,3,Never-married,Machine-op-inspct,Wife,White,Female,0,0,20,Philippines,<=50K
81,?,327253,12th,12,Married-spouse-absent,Sales,Not-in-family,Other,Female,0,0,42,Canada,<=50K
37,Self-emp-inc,106371,Assoc-voc,7,Never-married,?,Husband,Black,Male,0,0,67,Germany,<=50K
88,Without-pay,806828,Assoc-voc,7,Divorced,Other-service,Husband,White,Female,0,0,31,Germany,>50K
59,State-gov,640223,9th,12,Separated,Craft-repair,Own-child,Amer-Indian-Eskimo,Female,0,0,75,Germany,<=50K
73,State-gov,557161,9th,3,Married-civ-spouse,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,22,?,<=50K
82,Self-emp-not-inc,303999,Some-college,12,Never-married,Other-service,Other-relative,Amer-Indian-Eskimo,Male,0,0,65,Canada,>50K
25,Local-gov,992528,Bachelors,13,Widowed,Exec-managerial,Other-relative,Amer-Indian-Eskimo,Male,7688,0,70,Canada,>50K
40,Without-pay,605066,Masters,13,Divorced,Prof-specialty,Unmarried,Other,Female,0,0,97,Philippines,<=50K
47,Private,318738,12th,11,Married-spouse-absent,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,76,Germany,<=50K
43,Without-pay,62886,9th,3,Separated,Machine-op-inspct,Not-in-family,Amer-Indian-Eskimo,Female,0,0,86,Germany,>50K
64,Self-emp-inc,131068,Bachelors,10,Divorced,Handlers-cleaners,Own-child,Black,Male,0,0,63,United-States,<=50K
60,Self-emp-not-inc,778166,7th-8th,16,Married-civ-spouse,Tech-support,Unmarried,Asian-Pac-Islander,Male,0,0,66,Canada,<=50K
25,?,536954,Some-college,2,Married-civ-spouse,?,Other-relative,Asian-Pac-Islander,Female,0,0,82,Canada,<=50K
60,Local-gov,778782,12th,8,Married-civ-spouse,Tech-support,Wife,Black,Female,0,0,25,Canada,>50K
